oldid	newid	time
HOUSE5432-5414-MALE_SAMPLED_40.5601736515369	HOUSE5432_5414	40.5601736515369
HOUSE5432-7295-FEMALE_SAMPLED_41.1376423635902	HOUSE5432_7295	41.1376423635902
HOUSE567-11349-MALE_SAMPLED_44.3947432516143	HOUSE567_11349	44.3947432516143
HOUSE4132-4092-MALE_SAMPLED_41.7134729647413	HOUSE4132_4092	41.7134729647413
HOUSE1739-11395-MALE_SAMPLED_42.669686130248	HOUSE1739_11395	42.669686130248
HOUSE1739-12109-FEMALE_SAMPLED_40.9755289907741	HOUSE1739_12109	40.9755289907741
HOUSE2642-8395-FEMALE_SAMPLED_40.5815581323928	HOUSE2642_8395	40.5815581323928
HOUSE4208-8264-FEMALE_SAMPLED_44.4879873492173	HOUSE4208_8264	44.4879873492173
HOUSE856-840-MALE_SAMPLED_41.2145358789712	HOUSE856_840	41.2145358789712
HOUSE1936-12985-MALE_SAMPLED_44.0885660535308	HOUSE1936_12985	44.0885660535308
HOUSE1191-10690-FEMALE_SAMPLED_43.5883555529077	HOUSE1191_10690	43.5883555529077
HOUSE1215-10547-FEMALE_SAMPLED_43.9997195435357	HOUSE1215_10547	43.9997195435357
HOUSE1534-12265-MALE_SAMPLED_43.1866325298324	HOUSE1534_12265	43.1866325298324
HOUSE2444-10321-MALE_SAMPLED_41.6755947829103	HOUSE2444_10321	41.6755947829103
HOUSE1408-1391-FEMALE_SAMPLED_44.9064903729595	HOUSE1408_1391	44.9064903729595
HOUSE1869-1858-MALE_SAMPLED_44.3060332328307	HOUSE1869_1858	44.3060332328307
HOUSE4256-8590-MALE_SAMPLED_40.248824810254	HOUSE4256_8590	40.248824810254
HOUSE4256-4215-FEMALE_SAMPLED_40.0923963970719	HOUSE4256_4215	40.0923963970719
HOUSE3501-3447-FEMALE_SAMPLED_40.052462260044	HOUSE3501_3447	40.052462260044
HOUSE6019-11779-FEMALE_SAMPLED_42.1193302640464	HOUSE6019_11779	42.1193302640464
HOUSE136-6945-MALE_SAMPLED_44.7865829162104	HOUSE136_6945	44.7865829162104
HOUSE841-827-FEMALE_SAMPLED_40.2386399076267	HOUSE841_827	40.2386399076267
HOUSE3098-10960-FEMALE_SAMPLED_43.8626042423593	HOUSE3098_10960	43.8626042423593
HOUSE3098-8737-MALE_SAMPLED_43.8381579634733	HOUSE3098_8737	43.8381579634733
HOUSE3723-7084-MALE_SAMPLED_40.6200652731404	HOUSE3723_7084	40.6200652731404
HOUSE2381-2396-MALE_SAMPLED_40.1253611365211	HOUSE2381_2396	40.1253611365211
HOUSE3480-3431-FEMALE_SAMPLED_43.0218825423976	HOUSE3480_3431	43.0218825423976
HOUSE2278-2290-MALE_SAMPLED_40.0862229113544	HOUSE2278_2290	40.0862229113544
HOUSE2400-2420-MALE_SAMPLED_24.0147617744957	HOUSE2400_2420	24.0147617744957
HOUSE1997-1987-FEMALE_SAMPLED_43.7387643440161	HOUSE1997_1987	43.7387643440161
HOUSE361-348-MALE_SAMPLED_41.5409579592546	HOUSE361_348	41.5409579592546
HOUSE728-12140-FEMALE_SAMPLED_40.4833426268306	HOUSE728_12140	40.4833426268306
HOUSE5402-9994-MALE_SAMPLED_44.4409102310325	HOUSE5402_9994	44.4409102310325
HOUSE5402-9942-FEMALE_SAMPLED_44.8459137380813	HOUSE5402_9942	44.8459137380813
HOUSE5839-12011-MALE_SAMPLED_40.1484362383536	HOUSE5839_12011	40.1484362383536
HOUSE685-651-FEMALE_SAMPLED_41.30977810793	HOUSE685_651	41.30977810793
HOUSE2655-2658-MALE_SAMPLED_43.3693091721513	HOUSE2655_2658	43.3693091721513
HOUSE768-10740-MALE_SAMPLED_41.7899163800757	HOUSE768_10740	41.7899163800757
HOUSE679-647-FEMALE_SAMPLED_40.4127648197211	HOUSE679_647	40.4127648197211
HOUSE1238-6302-FEMALE_SAMPLED_41.8797687673941	HOUSE1238_6302	41.8797687673941
HOUSE1238-1224-MALE_SAMPLED_40.3275375022521	HOUSE1238_1224	40.3275375022521
HOUSE151-135-FEMALE_SAMPLED_43.1438109627925	HOUSE151_135	43.1438109627925
HOUSE4665-10708-FEMALE_SAMPLED_44.0510170243215	HOUSE4665_10708	44.0510170243215
HOUSE2735-2737-FEMALE_SAMPLED_43.8212061754894	HOUSE2735_2737	43.8212061754894
HOUSE3086-3062-MALE_SAMPLED_40.0998437116504	HOUSE3086_3062	40.0998437116504
HOUSE2860-2856-MALE_SAMPLED_40.0471997001361	HOUSE2860_2856	40.0471997001361
HOUSE5566-5560-MALE_SAMPLED_41.4902331714984	HOUSE5566_5560	41.4902331714984
HOUSE4490-6607-MALE_SAMPLED_40.6196679687127	HOUSE4490_6607	40.6196679687127
HOUSE1570-1553-FEMALE_SAMPLED_42.023891749559	HOUSE1570_1553	42.023891749559
HOUSE2385-2402-MALE_SAMPLED_43.0196315710665	HOUSE2385_2402	43.0196315710665
HOUSE1135-10074-FEMALE_SAMPLED_44.9542859250416	HOUSE1135_10074	44.9542859250416
HOUSE5964-7641-MALE_SAMPLED_30.2994205327705	HOUSE5964_7641	30.2994205327705
HOUSE5964-13321-MALE_SAMPLED_44.0289656120427	HOUSE5964_13321	44.0289656120427
HOUSE6019-10266-FEMALE_SAMPLED_43.4611488543315	HOUSE6019_10266	43.4611488543315
HOUSE1180-11218-MALE_SAMPLED_40.0931876315735	HOUSE1180_11218	40.0931876315735
HOUSE3309-9180-MALE_SAMPLED_43.7038775205885	HOUSE3309_9180	43.7038775205885
HOUSE949-930-MALE_SAMPLED_42.4491124305136	HOUSE949_930	42.4491124305136
HOUSE2641-9609-MALE_SAMPLED_44.9739613735196	HOUSE2641_9609	44.9739613735196
HOUSE6019-7075-FEMALE_SAMPLED_41.1980243108701	HOUSE6019_7075	41.1980243108701
HOUSE1321-6948-FEMALE_SAMPLED_41.6356176712094	HOUSE1321_6948	41.6356176712094
HOUSE1989-1976-MALE_SAMPLED_41.7361682199407	HOUSE1989_1976	41.7361682199407
HOUSE1664-1658-MALE_SAMPLED_41.4786384467403	HOUSE1664_1658	41.4786384467403
